movie,actor,rank,studio,bday,male,release_date,production_budget,domestic_gross,worldwide_gross
L.I.E.,Paul Dano,15,Lot47,1984-06-19,1.0,2001-09-07,700000.0,1140965.0,1140965.0
Labor Day,Josh Brolin,21,Par.,1968-02-12,1.0,2014-01-31,18000000.0,13371528.0,14189810.0
Labor Day,Kate Winslet,15,Par.,1975-10-05,0.0,2014-01-31,18000000.0,13371528.0,14189810.0
Ladder 49,Joaquin Phoenix,6,BV,1974-10-28,1.0,2004-10-01,60000000.0,74541707.0,102332848.0
Ladder 49,John Travolta,18,BV,1954-02-18,1.0,2004-10-01,60000000.0,74541707.0,102332848.0
Lady in White,Lukas Haas,14,NCeV,1976-04-16,1.0,1988-04-22,4700000.0,1705139.0,1705139.0
Lady in the Water,Bryce Dallas Howard,5,WB,1981-03-02,0.0,2006-07-21,75000000.0,42285169.0,72785169.0
Lady in the Water,Jared Harris,-,WB,1961-08-24,1.0,2006-07-21,75000000.0,42285169.0,72785169.0
Lady in the Water,M. Night Shyamalan,1,WB,1970-08-06,1.0,2006-07-21,75000000.0,42285169.0,72785169.0
Lady in the Water,Paul Giamatti,17,WB,1967-06-06,1.0,2006-07-21,75000000.0,42285169.0,72785169.0
Ladyhawke,Alfred Molina,-,WB,1953-05-24,1.0,1985-04-12,20000000.0,18248879.0,18248879.0
Ladyhawke,Matthew Broderick,15,WB,1962-03-21,1.0,1985-04-12,20000000.0,18248879.0,18248879.0
Ladyhawke,Michelle Pfeiffer,21,WB,1958-04-29,0.0,1985-04-12,20000000.0,18248879.0,18248879.0
Ladyhawke,Rutger Hauer,4,WB,1944-01-23,1.0,1985-04-12,20000000.0,18248879.0,18248879.0
Lake Placid,Brendan Gleeson,15,Fox,1955-03-29,1.0,1999-07-16,27000000.0,31770413.0,31770413.0
Lakeview Terrace,Samuel L. Jackson,33,SGem,1948-12-21,1.0,2008-09-19,20000000.0,39263506.0,44821299.0
Land of the Lost,Anna Friel,2,Uni.,1976-07-12,0.0,2009-06-05,100000000.0,49438370.0,69548641.0
Land of the Lost,Danny McBride,5,Uni.,1976-12-29,1.0,2009-06-05,100000000.0,49438370.0,69548641.0
Land of the Lost,Jorma Taccone,1,Uni.,1977-03-19,1.0,2009-06-05,100000000.0,49438370.0,69548641.0
Land of the Lost,Leonard Nimoy,9,Uni.,1931-03-26,1.0,2009-06-05,100000000.0,49438370.0,69548641.0
Land of the Lost,Will Ferrell,18,Uni.,1967-07-16,1.0,2009-06-05,100000000.0,49438370.0,69548641.0
Lara Croft: Tomb Raider,Angelina Jolie,5,Par.,1975-06-04,0.0,2001-06-15,94000000.0,131144183.0,273330185.0
